Rare Genetic Diseases Associated with Polydactyly
"""Scalp defects-postaxial polydactyly syndrome"""
"""Bardet-Biedl syndrome"""
"""Microphthalmia with limb anomalies"""
"""Aphalangy-syndactyly-microcephaly syndrome"""
"""Brachydactyly-preaxial hallux varus syndrome"""
"""Branchio-oculo-facial syndrome"""
"""Legius syndrome"""
"""Cortical blindness-intellectual disability-polydactyly syndrome"""
"""Joubert syndrome with hepatic defect"""
"""Short rib-polydactyly syndrome"""
"""Craniofrontonasal dysplasia"""
"""Jackson-Weiss syndrome"""
"""Dandy-Walker malformation-postaxial polydactyly syndrome"""
"""CNTNAP2-related developmental and epileptic encephalopathy"""
"""Fatal infantile lactic acidosis with methylmalonic aciduria"""
"""Non-rhizomelic chondrodysplasia punctata"""
"""Acromelic frontonasal dysplasia"""
"""Acrocardiofacial syndrome"""
"""Multinodular goiter-cystic kidney-polydactyly syndrome"""
"""Focal dermal hypoplasia"""
"""Acromesomelic dysplasia, Grebe type"""
"""Hirschsprung disease-deafness-polydactyly syndrome"""
"""Holoprosencephaly-postaxial polydactyly syndrome"""
"""Hydrolethalus"""
"""Joubert syndrome with ocular defect"""
"""Joubert syndrome with renal defect"""
"""Hypertelorism-hypospadias-polysyndactyly syndrome"""
"""Hypothyroidism due to deficient transcription factors involved in pituitary development or function"""
"""IVIC syndrome"""
"""Johnson neuroectodermal syndrome"""
"""Joubert syndrome with oculorenal defect"""
"""Laurence-Moon syndrome"""
"""Laurin-Sandrow syndrome"""
"""Hand-foot-genital syndrome"""
"""McKusick-Kaufman syndrome"""
"""Oculodentodigital dysplasia"""
"""Orofaciodigital syndrome type 2"""
"""Orofaciodigital syndrome type 3"""
"""Orofaciodigital syndrome type 4"""
"""Orofaciodigital syndrome type 6"""
"""Ellis Van Creveld syndrome"""
"""Polydactyly-myopia syndrome"""
"""Orofaciodigital syndrome type 5"""
"""Oliver syndrome"""
"""Preaxial polydactyly-colobomata-intellectual disability syndrome"""
"""Crossed polysyndactyly"""
"""Peroxisomal acyl-CoA oxidase deficiency"""
"""Ulnar-mammary syndrome"""
"""Tibial aplasia-ectrodactyly syndrome"""
"""Hypoplastic tibiae-postaxial polydactyly syndrome"""
"""Acrocallosal syndrome"""
"""Simpson-Golabi-Behmel syndrome"""
"""Greig cephalopolysyndactyly syndrome"""
"""Silver-Russell syndrome due to a point mutation"""
"""Joubert syndrome with Jeune asphyxiating thoracic dystrophy"""
"""MEND syndrome"""
"""Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency"""
"""Orofaciodigital syndrome type 14"""
"""Harlequin ichthyosis"""
"""Microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome"""
"""Lathosterolosis"""
"""Char syndrome"""
"""Jeune syndrome"""
"""Joubert syndrome"""
"""X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability"""
"""Braddock syndrome"""
"""SYNGAP1-related developmental and epileptic encephalopathy"""
"""Meckel syndrome"""
"""22q11.2 deletion syndrome"""
"""Carpenter syndrome"""
"""Cerebrooculonasal syndrome"""
"""Dysostosis with brachydactyly"""
"""3C syndrome"""
"""Rabson-Mendenhall syndrome"""
"""Mandibulofacial dysostosis-microcephaly syndrome"""
"""Smith-Lemli-Opitz syndrome"""
"""Smith-Magenis syndrome"""
"""Acropectoral syndrome"""
"""BRESEK syndrome"""
"""X-linked intellectual disability, Siderius type"""
"""Townes-Brocks syndrome"""
"""Otopalatodigital syndrome type 2"""
"""Short rib-polydactyly syndrome, Verma-Naumoff type"""
"""Congenital sialidosis type 2"""
"""Syndactyly type 2"""
"""Syndactyly type 4"""
"""Acrofacial dysostosis, Weyers type"""
"""Combined pituitary hormone deficiencies, genetic forms"""
"""Acro-renal-ocular syndrome"""
