Disease Name
"""Romano-Ward syndrome"""
"""Leber hereditary optic neuropathy"""
"""TMEM70-related mitochondrial encephalo-cardio-myopathy"""
"""6-pyruvoyl-tetrahydropterin synthase deficiency"""
"""Cardiomyopathy-cataract-hip spine disease syndrome"""
"""Atrial septal defect-atrioventricular conduction defects syndrome"""
"""SPECC1L-related hypertelorism syndrome"""
"""Carnitine palmitoyl transferase 1A deficiency"""
"""Carnitine palmitoyltransferase II deficiency"""
"""Congenital muscular dystrophy due to LMNA mutation"""
"""Carnitine-acylcarnitine translocase deficiency"""
"""Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease"""
"""Sudden infant death-dysgenesis of the testes syndrome"""
"""Heart-hand syndrome, Slovenian type"""
"""Generalized pseudohypoaldosteronism type 1"""
"""Hidrotic ectodermal dysplasia, Christianson-Fourie type"""
"""Early myoclonic encephalopathy"""
"""3-hydroxy-3-methylglutaric aciduria"""
"""Hennekam-Beemer syndrome"""
"""Lissencephaly type 1 due to doublecortin gene mutation"""
"""Mucopolysaccharidosis type 2, severe form"""
"""Mucopolysaccharidosis type 2, attenuated form"""
"""Familial isolated hypoparathyroidism"""
"""Maternally-inherited diabetes and deafness"""
"""Carnitine palmitoyl transferase II deficiency, severe infantile form"""
"""Carnitine palmitoyl transferase II deficiency, neonatal form"""
"""Polyvalvular heart disease syndrome"""
"""IVIC syndrome"""
"""Classical-like Ehlers-Danlos syndrome type 1"""
"""Beta-thalassemia major"""
"""Dominant beta-thalassemia"""
"""Kawasaki disease"""
"""Autosomal dominant progressive external ophthalmoplegia"""
"""Microphthalmia with linear skin defects syndrome"""
"""Laminin subunit alpha 2-related congenital muscular dystrophy"""
"""Emery-Dreifuss muscular dystrophy"""
"""Kleefstra syndrome"""
"""Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency"""
"""Multiple acyl-CoA dehydrogenase deficiency"""
"""Very long chain acyl-CoA dehydrogenase deficiency"""
"""Oculodentodigital dysplasia"""
"""Ogden syndrome"""
"""Autosomal semi-dominant severe lipodystrophic laminopathy"""
"""PEHO syndrome"""
"""Hypermobile Ehlers-Danlos syndrome"""
"""Progeria-short stature-pigmented nevi syndrome"""
"""Pyridoxine-dependent epilepsy"""
"""Familial dilated cardiomyopathy with conduction defect due to LMNA mutation"""
"""Ulnar-mammary syndrome"""
"""Xq12-q13.3 duplication syndrome"""
"""Supravalvular aortic stenosis"""
"""MT-ATP6-related mitochondrial spastic paraplegia"""
"""Deafness-enamel hypoplasia-nail defects syndrome"""
"""Phosphoribosylpyrophosphate synthetase superactivity"""
"""Fabry disease"""
"""ALG13-CDG"""
"""Lymphedema-distichiasis syndrome"""
"""Familial Mediterranean fever"""
"""Naxos disease"""
"""Infantile spasms syndrome"""
"""Propionic acidemia"""
"""Progressive external ophthalmoplegia-myopathy-emaciation syndrome"""
"""Andersen-Tawil syndrome"""
"""Giant cell arteritis"""
"""Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome"""
"""Medium chain acyl-CoA dehydrogenase deficiency"""
"""Adult-onset cervical dystonia, DYT23 type"""
"""Autosomal dominant hypocalcemia"""
"""MYH7-related late-onset scapuloperoneal muscular dystrophy"""
"""KCNQ2-related epileptic encephalopathy"""
"""Congenital hypothyroidism"""
"""Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome"""
"""Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome"""
"""Symptomatic form of hemochromatosis type 1"""
"""SLC39A8-CDG"""
"""Noonan syndrome with multiple lentigines"""
"""Lafora disease"""
"""3-methylglutaconic aciduria type 9"""
"""Leigh syndrome"""
"""Familial short QT syndrome"""
"""Liddle syndrome"""
"""Thrombotic thrombocytopenic purpura"""
"""GNB5-related intellectual disability-cardiac arrhythmia syndrome"""
"""Triglyceride deposit cardiomyovasculopathy"""
"""Combined oxidative phosphorylation defect type 39"""
"""Glycogen storage disease due to aldolase A deficiency"""
"""Mucopolysaccharidosis type 2"""
"""Noonan syndrome"""
"""Hyperkalemic periodic paralysis"""
"""Mitochondrial trifunctional protein deficiency"""
"""Familial long QT syndrome"""
"""Infantile Refsum disease"""
"""Pyruvate dehydrogenase E1-alpha deficiency"""
"""MPDU1-CDG"""
"""ALG2-CDG"""
"""MGAT2-CDG"""
"""Sarcoidosis"""
"""Schwartz-Jampel syndrome"""
"""Stickler syndrome"""
"""ATTRV30M amyloidosis"""
"""AGel amyloidosis"""
"""ATTRV122I amyloidosis"""
"""DPAGT1-CDG"""
"""Familial progressive cardiac conduction defect"""
"""Autosomal recessive non-syndromic intellectual disability"""
"""Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency"""
"""Von Hippel-Lindau disease"""
"""Jervell and Lange-Nielsen syndrome"""
"""DK1-CDG"""
"""Spondylometaphyseal dysplasia, Sedaghatian type"""
"""Ataxia with vitamin E deficiency"""
"""Autoimmune hemolytic anemia"""
"""Familial focal epilepsy with variable foci"""
"""Autosomal dominant Emery-Dreifuss muscular dystrophy"""
"""Autosomal recessive Emery-Dreifuss muscular dystrophy"""
"""X-linked Emery-Dreifuss muscular dystrophy"""
"""Autosomal dominant Charcot-Marie-Tooth disease type 2K"""
