Disease Name
"""Ataxia-telangiectasia"""
"""Autosomal recessive spastic paraplegia type 15"""
"""Porphyria cutanea tarda"""
"""AREDYLD syndrome"""
"""Early-onset cerebellar ataxia with retained tendon reflexes"""
"""Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome"""
"""Autosomal dominant optic atrophy plus syndrome"""
"""Bangstad syndrome"""
"""Bloom syndrome"""
"""Familial pancreatic carcinoma"""
"""Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy"""
"""Xq21 microdeletion syndrome"""
"""X-linked skeletal dysplasia-intellectual disability syndrome"""
"""Pterin-4 alpha-carbinolamine dehydratase deficiency"""
"""X-linked intellectual disability, Van Esch type"""
"""Wolcott-Rallison syndrome"""
"""H syndrome"""
"""Primary sclerosing cholangitis"""
"""Dyskeratosis congenita"""
"""Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1"""
"""Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2"""
"""Central diabetes insipidus"""
"""Obesity due to leptin receptor gene deficiency"""
"""X-linked hypohidrotic ectodermal dysplasia"""
"""Primary pigmented nodular adrenocortical disease"""
"""Cockayne syndrome"""
"""Scalp-ear-nipple syndrome"""
"""Flynn-Aird syndrome"""
"""Fanconi-Bickel syndrome"""
"""Cystinosis"""
"""Nephrogenic diabetes insipidus"""
"""Hypoparathyroidism-sensorineural deafness-renal disease syndrome"""
"""Maternally-inherited diabetes and deafness"""
"""Pancreatic hypoplasia-diabetes-congenital heart disease syndrome"""
"""Autoimmune polyendocrinopathy type 3"""
"""Autoimmune polyendocrinopathy type 4"""
"""Syndromic multisystem autoimmune disease due to Itch deficiency"""
"""Insulin-resistance syndrome type A"""
"""Beta-thalassemia major"""
"""Beta-thalassemia intermedia"""
"""Dominant beta-thalassemia"""
"""Johanson-Blizzard syndrome"""
"""Familial partial lipodystrophy, Dunnigan type"""
"""Laurence-Moon syndrome"""
"""Mandibuloacral dysplasia"""
"""Autosomal recessive ataxia due to PEX10 deficiency"""
"""Autosomal dominant progressive external ophthalmoplegia"""
"""Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome"""
"""Isolated complex I deficiency"""
"""Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency"""
"""Steinert myotonic dystrophy"""
"""Autosomal dominant hyperinsulinism due to SUR1 deficiency"""
"""Autosomal dominant hyperinsulinism due to Kir6.2 deficiency"""
"""Septopreoptic holoprosencephaly"""
"""Microform holoprosencephaly"""
"""PLIN1-related familial partial lipodystrophy"""
"""Autosomal semi-dominant severe lipodystrophic laminopathy"""
"""Acrodysostosis with multiple hormone resistance"""
"""Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome"""
"""Progeria-short stature-pigmented nevi syndrome"""
"""X-linked acrogigantism"""
"""Ramon syndrome"""
"""Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome"""
"""Hereditary central diabetes insipidus"""
"""SHORT syndrome"""
"""Erythrokeratodermia variabilis"""
"""Stimmler syndrome"""
"""MT-ATP6-related mitochondrial spastic paraplegia"""
"""Deafness-enamel hypoplasia-nail defects syndrome"""
"""Fabry disease"""
"""Renpenning syndrome"""
"""Hyperinsulinism due to HNF1A deficiency"""
"""Lymphedema-distichiasis syndrome"""
"""Ulbright-Hodes syndrome"""
"""Wiedemann-Rautenstrauch syndrome"""
"""Wolfram syndrome"""
"""Woodhouse-Sakati syndrome"""
"""Gitelman syndrome"""
"""Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome"""
"""Multicentric osteolysis-nodulosis-arthropathy spectrum"""
"""Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome"""
"""Frontorhiny"""
"""Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome"""
"""Giant cell arteritis"""
"""Proximal myopathy with extrapyramidal signs"""
"""Wolfram-like syndrome"""
"""Dysbetalipoproteinemia"""
"""Autosomal recessive cerebellar ataxia due to STUB1 deficiency"""
"""X-linked intellectual disability-limb spasticity-retinal dystrophy-diabetes insipidus syndrome"""
"""CIDEC-related familial partial lipodystrophy"""
"""LIPE-related familial partial lipodystrophy"""
"""Microcephalic primordial dwarfism-insulin resistance syndrome"""
"""Combined immunodeficiency-enteropathy spectrum"""
"""GCGR-related hyperglucagonemia"""
"""Familial chylomicronemia syndrome"""
"""Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome"""
"""Symptomatic form of fragile X syndrome in female carriers"""
"""Polyendocrine-polyneuropathy syndrome"""
"""Infantile multisystem neurologic-endocrine-pancreatic disease"""
"""Symptomatic form of hemochromatosis type 1"""
"""Kennedy disease"""
"""Aceruloplasminemia"""
"""Thiamine-responsive megaloblastic anemia syndrome"""
"""Microcephaly-corpus callosum and cerebellar vermis hypoplasia-facial dysmorphism-intellectual disability syndrom"""
"""Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome"""
"""Aicardi-Goutières syndrome"""
"""Congenital generalized lipodystrophy"""
"""Oculocerebrorenal syndrome of Lowe"""
"""Classical-like Ehlers-Danlos syndrome type 2"""
"""Growth delay-intellectual disability-hepatopathy syndrome"""
"""Triglyceride deposit cardiomyovasculopathy"""
"""Alexander disease"""
"""Alpha-mannosidosis"""
"""Alström syndrome"""
"""Norrie disease"""
"""Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome"""
"""Obesity due to congenital leptin deficiency"""
"""Hereditary chronic pancreatitis"""
"""Pyogenic arthritis-pyoderma gangrenosum-acne syndrome"""
"""Low phospholipid-associated cholelithiasis"""
"""Obesity due to melanocortin 4 receptor deficiency"""
"""Rabson-Mendenhall syndrome"""
"""Morgagni-Stewart-Morel syndrome"""
"""PPARG-related familial partial lipodystrophy"""
"""Familial partial lipodystrophy, Köbberling type"""
"""AKT2-related familial partial lipodystrophy"""
"""Congenital bile acid synthesis defect type 4"""
"""Retinitis pigmentosa"""
"""Hemochromatosis type 2"""
"""Hyperinsulinism due to glucokinase deficiency"""
"""Sarcoidosis"""
"""Shwachman-Diamond syndrome"""
"""Enteric anendocrinosis"""
"""MEHMO syndrome"""
"""Werner syndrome"""
"""Williams syndrome"""
"""Aromatase deficiency"""
"""Acatalasemia"""
"""HNF1B-related autosomal dominant tubulointerstitial kidney disease"""
"""Spondyloepimetaphyseal dysplasia congenita, Strudwick type"""
"""Friedreich ataxia"""
"""Ataxia with vitamin E deficiency"""
"""Riboflavin transporter deficiency"""
"""Autosomal dominant optic atrophy, classic form"""
"""Prader-Willi syndrome due to paternal 15q11q13 deletion"""
"""Neutral lipid storage myopathy"""
"""Pituitary gigantism"""
"""LIG4 syndrome"""
"""Isolated permanent neonatal diabetes mellitus"""
