Disease Name
"""Ataxia-telangiectasia"""
"""ABeta amyloidosis, Dutch type"""
"""Alopecia-epilepsy-pyorrhea-intellectual disability syndrome"""
"""Autosomal dominant spastic paraplegia type 4"""
"""Autosomal dominant spastic paraplegia type 6"""
"""Autosomal dominant spastic paraplegia type 12"""
"""Autosomal recessive spastic paraplegia type 15"""
"""Autosomal dominant spastic paraplegia type 19"""
"""Dentatorubral pallidoluysian atrophy"""
"""Autosomal dominant palmoplantar keratoderma and congenital alopecia"""
"""Autosomal recessive spastic paraplegia type 23"""
"""Autosomal dominant spastic paraplegia type 29"""
"""Romano-Ward syndrome"""
"""Autosomal dominant epilepsy with auditory features"""
"""Spinocerebellar ataxia type 26"""
"""Rare non-syndromic intellectual disability"""
"""Early-onset autosomal dominant Alzheimer disease"""
"""Mosaic variegated aneuploidy syndrome"""
"""Hereditary neurocutaneous malformation"""
"""Bannayan-Riley-Ruvalcaba syndrome"""
"""Arthrogryposis multiplex congenita-whistling face syndrome"""
"""Behçet disease"""
"""Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome"""
"""Beta-mannosidosis"""
"""Spastic ataxia with congenital miosis"""
"""Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome"""
"""TMEM70-related mitochondrial encephalo-cardio-myopathy"""
"""Bangstad syndrome"""
"""Congenital intrauterine infection-like syndrome"""
"""Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome"""
"""Borjeson-Forssman-Lehmann syndrome"""
"""Bowen-Conradi syndrome"""
"""Aymé-Gripp syndrome"""
"""Branchioskeletogenital syndrome"""
"""6-pyruvoyl-tetrahydropterin synthase deficiency"""
"""Infantile choroidocerebral calcification syndrome"""
"""Camptodactyly syndrome, Guadalajara type 1"""
"""Chronic mucocutaneous candidiasis"""
"""Beta-ketothiolase deficiency"""
"""Mitochondrial DNA-related cardiomyopathy and hearing loss"""
"""CACH syndrome"""
"""Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy"""
"""Carnosinase deficiency"""
"""Congenital disorder of glycosylation"""
"""Legius syndrome"""
"""Neurological conditions associated with aminoacylase 1 deficiency"""
"""X-linked intellectual disability-cerebellar hypoplasia syndrome"""
"""Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome"""
"""Cataract-nephropathy-encephalopathy syndrome"""
"""X-linked cerebral adrenoleukodystrophy"""
"""Encephalopathy due to prosaposin deficiency"""
"""17q11.2 microduplication syndrome"""
"""Autosomal recessive ataxia due to ubiquinone deficiency"""
"""Syndactyly-telecanthus-anogenital and renal malformations syndrome"""
"""Canavan disease"""
"""Xq21 microdeletion syndrome"""
"""Lynch syndrome"""
"""Joubert syndrome with hepatic defect"""
"""Coffin-Siris syndrome"""
"""COFS syndrome"""
"""Carbamoyl-phosphate synthetase 1 deficiency"""
"""Multiple carboxylase deficiency"""
"""Vici syndrome"""
"""Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome"""
"""Corpus callosum agenesis-neuronopathy syndrome"""
"""X-linked complicated corpus callosum dysgenesis"""
"""Craniosynostosis-fibular aplasia syndrome"""
"""Crisponi syndrome"""
"""Carnitine palmitoyl transferase 1A deficiency"""
"""Carnitine palmitoyltransferase II deficiency"""
"""Knobloch syndrome"""
"""Pantothenate kinase-associated neurodegeneration"""
"""Huntington disease-like 1"""
"""Huntington disease-like 3"""
"""Systemic primary carnitine deficiency"""
"""Carnitine-acylcarnitine translocase deficiency"""
"""CNTNAP2-related developmental and epileptic encephalopathy"""
"""2p21 microdeletion syndrome"""
"""Rolandic epilepsy-speech dyspraxia syndrome"""
"""Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease"""
"""X-linked intellectual disability, Najm type"""
"""X-linked intellectual disability, Nascimento type"""
"""X-linked cerebral-cerebellar-coloboma syndrome"""
"""Hyperekplexia-epilepsy syndrome"""
"""Pontocerebellar hypoplasia type 4"""
"""Wolcott-Rallison syndrome"""
"""Chédiak-Higashi syndrome"""
"""Congenital neuronal ceroid lipofuscinosis"""
"""Late infantile neuronal ceroid lipofuscinosis"""
"""Hereditary cryohydrocytosis with reduced stomatin"""
"""Moderate hemophilia A"""
