(dz.name)
"""Autosomal recessive spastic paraplegia type 20"""
"""Charcot-Marie-Tooth disease type 1F"""
"""Autosomal recessive dopa-responsive dystonia"""
"""Rare non-syndromic intellectual disability"""
"""Mosaic variegated aneuploidy syndrome"""
"""Aniridia-renal agenesis-psychomotor retardation syndrome"""
"""Aniridia-absent patella syndrome"""
"""Bannayan-Riley-Ruvalcaba syndrome"""
"""Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome"""
"""Infantile-onset X-linked spinal muscular atrophy"""
"""Arthrogryposis multiplex congenita-whistling face syndrome"""
"""Autosomal recessive cerebelloparenchymal disorder type 3"""
"""Cerebellar ataxia-hypogonadism syndrome"""
"""Spinocerebellar ataxia-dysmorphism syndrome"""
"""Lethal ataxia with deafness and optic atrophy"""
"""TMEM70-related mitochondrial encephalo-cardio-myopathy"""
"""Autosomal dominant congenital benign spinal muscular atrophy"""
"""Beemer-Ertbruggen syndrome"""
"""Borjeson-Forssman-Lehmann syndrome"""
"""Aymé-Gripp syndrome"""
"""6-pyruvoyl-tetrahydropterin synthase deficiency"""
"""Beta-ketothiolase deficiency"""
"""Cardiofaciocutaneous syndrome"""
"""CACH syndrome"""
"""Carey-Fineman-Ziter syndrome"""
"""Legius syndrome"""
"""Neurological conditions associated with aminoacylase 1 deficiency"""
"""X-linked intellectual disability-cerebellar hypoplasia syndrome"""
"""Auriculocondylar syndrome"""
"""Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome"""
"""Encephalopathy due to prosaposin deficiency"""
"""Autosomal recessive ataxia due to ubiquinone deficiency"""
"""Hydrocephaly-cerebellar agenesis syndrome"""
"""Canavan disease"""
"""Lynch syndrome"""
"""Joubert syndrome with hepatic defect"""
"""CODAS syndrome"""
"""Coffin-Siris syndrome"""
"""COFS syndrome"""
"""Carbamoyl-phosphate synthetase 1 deficiency"""
"""Multiple carboxylase deficiency"""
"""Cooper-Jabs syndrome"""
"""Vici syndrome"""
"""Achondroplasia"""
"""Craniofrontonasal dysplasia"""
"""Carnitine palmitoyl transferase 1A deficiency"""
"""Pterin-4 alpha-carbinolamine dehydratase deficiency"""
"""Huntington disease-like 1"""
"""Congenital muscular dystrophy due to LMNA mutation"""
"""CNTNAP2-related developmental and epileptic encephalopathy"""
"""Hypotonia-cystinuria syndrome"""
"""2p21 microdeletion syndrome"""
"""Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease"""
"""X-linked cerebral-cerebellar-coloboma syndrome"""
"""Dent disease"""
"""Native American myopathy"""
"""Combined immunodeficiency due to CRAC channel dysfunction"""
"""Autosomal recessive centronuclear myopathy"""
"""Autosomal dominant centronuclear myopathy"""
"""Fatal infantile lactic acidosis with methylmalonic aciduria"""
"""Severe congenital nemaline myopathy"""
"""Intermediate nemaline myopathy"""
"""Typical nemaline myopathy"""
"""Childhood-onset nemaline myopathy"""
"""Cap myopathy"""
"""22q11.2 duplication syndrome"""
"""Cartilage-hair hypoplasia"""
"""Non-rhizomelic chondrodysplasia punctata"""
"""Familial dysautonomia"""
"""Dysequilibrium syndrome"""
"""Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1"""
"""Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2"""
"""Thakker-Donnai syndrome"""
"""Autosomal dominant non-syndromic intellectual disability"""
"""Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome"""
"""Bone dysplasia, lethal Holmgren type"""
"""Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome"""
"""Arthrochalasia Ehlers-Danlos syndrome"""
"""Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency"""
"""Dermatosparaxis Ehlers-Danlos syndrome"""
"""Cockayne syndrome"""
"""Coffin-Lowry syndrome"""
"""Cohen syndrome"""
"""Early myoclonic encephalopathy"""
"""Benign familial neonatal epilepsy"""
"""Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome"""
"""Occipital horn syndrome"""
"""3-hydroxy-3-methylglutaric aciduria"""
"""Acrocardiofacial syndrome"""
"""Congenital fiber-type disproportion myopathy"""
"""Crigler-Najjar syndrome"""
"""Galloway-Mowat syndrome"""
"""Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome"""
"""German syndrome"""
"""Geroderma osteodysplastica"""
"""Bilateral parasagittal parieto-occipital polymicrogyria"""
"""Spinocerebellar ataxia type 29"""
"""Brain-lung-thyroid syndrome"""
"""Hartnup disease"""
"""Hawkinsinuria"""
"""Hennekam-Beemer syndrome"""
"""Mowat-Wilson syndrome"""
"""Neuronal ceroid lipofuscinosis"""
"""Holoprosencephaly-postaxial polydactyly syndrome"""
"""Methylcobalamin deficiency type cblE"""
"""Infantile systemic hyalinosis"""
"""Succinic semialdehyde dehydrogenase deficiency"""
"""Hyperlysinemia"""
"""Joubert syndrome with ocular defect"""
"""Joubert syndrome with renal defect"""
"""Multiple pterygium-malignant hyperthermia syndrome"""
"""Ulna hypoplasia-intellectual disability syndrome"""
"""Familial infantile bilateral striatal necrosis"""
"""Pancreatic hypoplasia-diabetes-congenital heart disease syndrome"""
"""Hypothyroidism due to deficient transcription factors involved in pituitary development or function"""
"""Dysmorphism-short stature-deafness-disorder of sex development syndrome"""
"""Carnitine palmitoyl transferase II deficiency, neonatal form"""
"""Syndromic multisystem autoimmune disease due to Itch deficiency"""
"""Dopamine beta-hydroxylase deficiency"""
"""Classical-like Ehlers-Danlos syndrome type 1"""
"""Johanson-Blizzard syndrome"""
"""Joubert syndrome with oculorenal defect"""
"""Osteopenia-intellectual disability-sparse hair syndrome"""
"""Laurin-Sandrow syndrome"""
"""Severe X-linked mitochondrial encephalomyopathy"""
"""Infantile dystonia-parkinsonism"""
"""Pyruvate dehydrogenase E3 deficiency"""
"""RFT1-CDG"""
"""Marden-Walker syndrome"""
"""Marfanoid habitus-autosomal recessive intellectual disability syndrome"""
"""Matthew-Wood syndrome"""
"""Hyperphosphatasia-intellectual disability syndrome"""
"""Citrullinemia type I"""
"""Glutaryl-CoA dehydrogenase deficiency"""
"""Polymicrogyria with optic nerve hypoplasia"""
"""Micro syndrome"""
"""Ataxia-telangiectasia-like disorder"""
"""CK syndrome"""
"""Microcephaly-cardiac defect-lung malsegmentation syndrome"""
"""Pontocerebellar hypoplasia type 2"""
"""Microcephaly-lymphedema-chorioretinopathy syndrome"""
"""Pure mitochondrial myopathy"""
"""Lethal infantile mitochondrial myopathy"""
"""Mitochondrial myopathy with reversible cytochrome C oxidase deficiency"""
"""Mitochondrial DNA depletion syndrome, myopathic form"""
"""Autosomal dominant progressive external ophthalmoplegia"""
"""Combined oxidative phosphorylation defect type 7"""
"""Pyruvate dehydrogenase E1-beta deficiency"""
"""Pyruvate dehydrogenase E3-binding protein deficiency"""
"""Mitochondrial DNA-associated Leigh syndrome"""
"""Leigh syndrome with leukodystrophy"""
"""Leigh syndrome with nephrotic syndrome"""
"""Laminin subunit alpha 2-related congenital muscular dystrophy"""
"""Mitochondrial myopathy and sideroblastic anemia"""
"""Methylmalonic acidemia with homocystinuria"""
"""Isolated complex I deficiency"""
"""Emery-Dreifuss muscular dystrophy"""
"""Distal 22q11.2 microduplication syndrome"""
"""Xq27.3q28 duplication syndrome"""
"""Kleefstra syndrome"""
"""Infantile spasms-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome"""
"""Hyperinsulinism due to HNF4A deficiency"""
"""COG5-CDG"""
"""COG4-CDG"""
"""COG1-CDG"""
"""Glycogen storage disease due to liver phosphorylase kinase deficiency"""
"""Lenz-Majewski hyperostotic dwarfism"""
"""Autosomal dominant limb-girdle muscular dystrophy type 1A"""
"""Neuhauser-Eichner-Opitz syndrome"""
"""Multiple acyl-CoA dehydrogenase deficiency"""
"""Short chain acyl-CoA dehydrogenase deficiency"""
"""Very long chain acyl-CoA dehydrogenase deficiency"""
"""Hypomyelination neuropathy-arthrogryposis syndrome"""
"""Vitamin B12-unresponsive methylmalonic acidemia"""
"""Congenital muscular dystrophy, Fukuyama type"""
"""Steinert myotonic dystrophy"""
