Disease Name
"""Ataxia-telangiectasia"""
"""Ocular albinism with late-onset sensorineural deafness"""
"""Spinocerebellar ataxia type 25"""
"""Aniridia-renal agenesis-psychomotor retardation syndrome"""
"""Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome"""
"""Blackfan-Diamond anemia"""
"""Bencze syndrome"""
"""Brachymorphism-onychodysplasia-dysphalangism syndrome"""
"""Branchio-oculo-facial syndrome"""
"""Branchioskeletogenital syndrome"""
"""Buschke-Ollendorff syndrome"""
"""Infantile choroidocerebral calcification syndrome"""
"""Camptodactyly-joint contractures-facial skeletal defects syndrome"""
"""Cardiofaciocutaneous syndrome"""
"""Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome"""
"""Congenital disorder of glycosylation"""
"""Overgrowth-macrocephaly-facial dysmorphism syndrome"""
"""X-linked intellectual disability-cerebellar hypoplasia syndrome"""
"""Cerebrofaciothoracic dysplasia"""
"""Autosomal recessive ataxia due to ubiquinone deficiency"""
"""Chondrodysplasia-disorder of sex development syndrome"""
"""Otospondylomegaepiphyseal dysplasia"""
"""Xq21 microdeletion syndrome"""
"""Joubert syndrome with hepatic defect"""
"""CODAS syndrome"""
"""Coffin-Siris syndrome"""
"""Uveal coloboma-cleft lip and palate-intellectual disability"""
"""Renal coloboma syndrome"""
"""Cooper-Jabs syndrome"""
"""Corpus callosum agenesis-neuronopathy syndrome"""
"""Autosomal recessive Robinow syndrome"""
"""Craniofacial dyssynostosis"""
"""SPECC1L-related hypertelorism syndrome"""
"""Craniosynostosis-fibular aplasia syndrome"""
"""Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome"""
"""Jackson-Weiss syndrome"""
"""X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome"""
"""Knobloch syndrome"""
"""X-linked intellectual disability, Najm type"""
"""X-linked intellectual disability, Nascimento type"""
"""Wolcott-Rallison syndrome"""
"""Chédiak-Higashi syndrome"""
"""Fatal infantile lactic acidosis with methylmalonic aciduria"""
"""Woolly hair"""
"""Blindness-scoliosis-arachnodactyly syndrome"""
"""Cartilage-hair hypoplasia"""
"""Non-rhizomelic chondrodysplasia punctata"""
"""Dyschondrosteosis-nephritis syndrome"""
"""Dysequilibrium syndrome"""
"""Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1"""
"""Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2"""
"""Focal facial dermal dysplasia type III"""
"""X-linked retinal dysplasia"""
"""Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome"""
"""EEM syndrome"""
"""Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency"""
"""Cockayne syndrome"""
"""Coffin-Lowry syndrome"""
"""Cohen syndrome"""
"""Spinocerebellar ataxia type 34"""
"""Extrasystoles-short stature-hyperpigmentation-microcephaly syndrome"""
"""Floating-Harbor syndrome"""
"""Freeman-Sheldon syndrome"""
"""Crouzon disease"""
"""Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome"""
"""German syndrome"""
"""Bilateral parasagittal parieto-occipital polymicrogyria"""
"""Focal dermal hypoplasia"""
"""Hartnup disease"""
"""Congenital stationary night blindness"""
"""Mowat-Wilson syndrome"""
"""Hydrocephalus with stenosis of the aqueduct of Sylvius"""
"""Hyperlysinemia"""
"""Joubert syndrome with ocular defect"""
"""Joubert syndrome with renal defect"""
"""Maternal phenylketonuria"""
"""Foveal hypoplasia-presenile cataract syndrome"""
"""Frontonasal dysplasia-alopecia-genital anomalies syndrome"""
"""IVIC syndrome"""
"""Cardiac-valvular Ehlers-Danlos syndrome"""
"""Joubert syndrome with oculorenal defect"""
"""KBG syndrome"""
"""Dubowitz syndrome"""
"""Laurence-Moon syndrome"""
"""Early-onset parkinsonism-intellectual disability syndrome"""
"""Hand-foot-genital syndrome"""
"""Postaxial acrofacial dysostosis"""
"""Metaphyseal dysostosis-intellectual disability-conductive deafness syndrome"""
"""Corpus callosum agenesis-abnormal genitalia syndrome"""
"""Microbrachycephaly-ptosis-cleft lip syndrome"""
"""CK syndrome"""
"""Autosomal recessive chorioretinopathy-microcephaly syndrome"""
"""Leigh syndrome with leukodystrophy"""
"""Mietens syndrome"""
"""MOMO syndrome"""
"""Isolated complex I deficiency"""
"""Distal 22q11.2 microduplication syndrome"""
"""Mesomelic dysplasia, Nievergelt type"""
"""Mesomelic dwarfism, Reinhardt-Pfeiffer type"""
"""COG5-CDG"""
"""Oculocerebrofacial syndrome, Kaufman type"""
"""Oculodentodigital dysplasia"""
"""Olivopontocerebellar atrophy-deafness syndrome"""
"""Opitz GBBB syndrome"""
"""ALG11-CDG"""
"""X-linked sideroblastic anemia and spinocerebellar ataxia"""
"""Microform holoprosencephaly"""
"""Multiple congenital anomalies-hypotonia-seizures syndrome"""
"""Severe intellectual disability and progressive spastic paraplegia"""
"""Autosomal recessive spastic paraplegia type 11"""
"""Xp22.13p22.2 duplication syndrome"""
"""Ellis Van Creveld syndrome"""
"""Intellectual disability-alacrima-achalasia syndrome"""
"""Pitt-Hopkins syndrome"""
"""Leri pleonosteosis"""
"""Preaxial polydactyly-colobomata-intellectual disability syndrome"""
"""Crossed polysyndactyly"""
"""Musculocontractural Ehlers-Danlos syndrome"""
"""X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome"""
"""Peroxisomal acyl-CoA oxidase deficiency"""
"""Autosomal recessive multiple pterygium syndrome"""
"""Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation"""
"""Polymicrogyria due to TUBB2B mutation"""
"""X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome"""
"""Autosomal dominant Robinow syndrome"""
"""Sarcosinemia"""
"""SCARF syndrome"""
"""Alpha-N-acetylgalactosaminidase deficiency"""
"""Non-progressive cerebellar ataxia with intellectual disability"""
"""X-linked non progressive cerebellar ataxia"""
"""Autosomal dominant spastic paraplegia type 36"""
"""Autosomal recessive spastic paraplegia type 55"""
"""Autosomal recessive spastic paraplegia type 54"""
"""Autosomal recessive spastic paraplegia type 44"""
"""Summitt syndrome"""
"""Deaf blind hypopigmentation syndrome, Yemenite type"""
"""Phosphoribosylpyrophosphate synthetase superactivity"""
"""Renpenning syndrome"""
"""Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome"""
"""Proximal symphalangism"""
"""Congenital muscular dystrophy with intellectual disability and severe epilepsy"""
