Disease Name
"""Alopecia-contractures-dwarfism-intellectual disability syndrome"""
"""X-linked Alport syndrome-diffuse leiomyomatosis"""
"""Aniridia-ptosis-intellectual disability-familial obesity syndrome"""
"""Anophthalmia-megalocornea-cardiopathy-skeletal anomalies syndrome"""
"""Aplasia cutis congenita-intestinal lymphangiectasia syndrome"""
"""Aplasia cutis-myopia syndrome"""
"""Blepharoptosis-myopia-ectopia lentis syndrome"""
"""Distal limb deficiencies-micrognathia syndrome"""
"""Cardiofaciocutaneous syndrome"""
"""Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome"""
"""Cataract-microcornea syndrome"""
"""Syndactyly-telecanthus-anogenital and renal malformations syndrome"""
"""Otospondylomegaepiphyseal dysplasia"""
"""Coffin-Siris syndrome"""
"""Renal coloboma syndrome"""
"""Corpus callosum agenesis-neuronopathy syndrome"""
"""Cranioectodermal dysplasia"""
"""Knobloch syndrome"""
"""Retinal degeneration-nanophthalmos-glaucoma syndrome"""
"""Spondyloepiphyseal dysplasia, Nishimura type"""
"""X-linked intellectual disability, Najm type"""
"""Multiple epiphyseal dysplasia, Beighton type"""
"""Late infantile neuronal ceroid lipofuscinosis"""
"""Cartilage-hair hypoplasia"""
"""Familial dysautonomia"""
"""Åland Islands eye disease"""
"""Choroideremia"""
"""Acromelic frontonasal dysplasia"""
"""Spondyloperipheral dysplasia-short ulna syndrome"""
"""Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency"""
"""Cohen syndrome"""
"""Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome"""
"""Cowden syndrome"""
"""Flynn-Aird syndrome"""
"""GAPO syndrome"""
"""Donnai-Barrow syndrome"""
"""Congenital stationary night blindness"""
"""Mowat-Wilson syndrome"""
"""RIN2 syndrome"""
"""Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement"""
"""Cardiac-valvular Ehlers-Danlos syndrome"""
"""Usher syndrome type 2"""
"""Dubowitz syndrome"""
"""Mesomelia-synostoses syndrome"""
"""Autosomal recessive Stickler syndrome"""
"""Multiple epiphyseal dysplasia"""
"""Microcephaly-lymphedema-chorioretinopathy syndrome"""
"""Spastic ataxia-corneal dystrophy syndrome"""
"""Mesomelic dwarfism, Reinhardt-Pfeiffer type"""
"""Oculocerebrofacial syndrome, Kaufman type"""
"""Oculodentodigital dysplasia"""
"""Congenital muscular dystrophy, Fukuyama type"""
"""Osteoporosis-oculocutaneous hypopigmentation syndrome"""
"""Wrinkly skin syndrome"""
"""Neonatal Marfan syndrome"""
"""Pitt-Hopkins syndrome"""
"""Polydactyly-myopia syndrome"""
"""Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome"""
"""Musculocontractural Ehlers-Danlos syndrome"""
"""De Barsy syndrome"""
"""Proteus-like syndrome"""
"""Peroxisomal acyl-CoA oxidase deficiency"""
"""Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency"""
"""X-linked intellectual disability, Snyder type"""
"""Autosomal recessive spastic paraplegia type 45"""
"""Fountain syndrome"""
"""Trichothiodystrophy"""
"""Arterial tortuosity syndrome"""
"""Van den Bosch syndrome"""
